ethscription_id,owner
0x393006edb7857cd03fa5c5385faf0357a3310d3a97ddb170a27bb303dbd08423,0x7a4e7623b0104a5ec1bb28689d764f4cd183d99a
0x37f55800f39c06a90703bff85999526efe368ec400b7853929ad0e048c11d0f3,0x99d7be449d280379802588554734fc521f891f39
0x8ae7dc452d73c65d2b2a7ec297761c1ad3a90bd0c1a1b310a08f3dd003053602,0x44eb189eaf8fef9fc518e99344e70d327cf8e83f
